ID,H1,H2,H3,H4,H5,H6,H7,H8,H9,N2,N3,N4,N5,N6,N7,N8,N9,N10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,C1,C2,C3,C4,C5,C6,C7,C8,C9,Sexo,,,
166,1,1,1.00,6,1,4,9,56,17,75,12,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
167,1,1,1.00,0,0,2,16,38,19,43,16,98,0,1,5,4,1,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,,,
168,1,2,1.00,0,1,3,12,41,13,25,11,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
169,1,2,1.00,3,2,5,97,70,11,34,5,97,2,0,1,5,2,3,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,
170,1,2,1.00,1,1,1,97,20,9,36,11,97,1,0,3,4,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,,,
171,1,3,1.00,1,2,5,7,41,15,49,9,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
172,1,1,1.00,5,2,4,97,69,12,22,98,97,2,0,4,5,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
173,1,2,1.00,0,3,1,12,22,11,31,12,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
174,1,1,1.00,2,1,6,6,75,10,30,5,97,1,0,1,5,4,2,3,1,2,2,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,2,,,
175,1,2,1.00,3,0,8,6,73,12,30,99,97,0,1,4,5,1,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
176,1,3,1.00,2,2,10,98,70,12,36,98,12,1,0,2,5,4,1,3,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,,,
177,1,2,1.00,2,2,3,8,32,12,50,10,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
178,1,2,1.00,0,0,3,12,36,12,54,18,14,0,1,3,5,1,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,,,
179,1,2,1.00,3,2,7,8,28,9,44,8,11,2,0,3,5,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,,
180,1,2,1.00,1,2,3,7,44,14,23,12,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
181,1,1,1.00,0,0,7,97,32,14,44,12,19,0,2,4,5,3,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
182,1,1,1.00,4,1,1,14,58,14,51,12,15,1,0,2,5,1,4,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
183,3,2,3.00,0,2,5,18,54,16,51,97,97,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
184,2,2,3.00,1,0,4,97,22,11,46,5,14,0,1,5,4,1,3,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,,,
185,1,1,3.00,6,2,13,98,27,9,0,98,6,1,0,3,5,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,,
186,1,2,3.00,0,1,2,19,28,16,62,17,97,1,0,5,4,1,3,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
187,1,2,3.00,0,1,5,14,31,16,28,14,97,1,0,5,4,1,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
188,1,2,3.00,0,2,7,5,18,12,35,6,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
189,1,2,3.00,0,1,3,18,33,16,52,18,97,1,0,5,4,1,3,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,,
190,1,2,3.00,0,2,2,8,27,10,0,11,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
191,1,2,3.00,4,1,3,14,38,13,32,16,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
192,1,2,3.00,2,0,2,6,37,12,32,8,12,0,2,5,4,1,3,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,
193,1,1,3.00,3,2,2,12,39,12,32,98,97,1,0,9,9,9,9,9,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
194,1,2,3.00,4,2,2,98,34,9,32,98,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
195,1,3,3.00,2,0,4,8,38,11,42,98,97,0,2,1,5,2,4,3,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,,,
196,1,1,3.00,2,0,1,8,47,18,74,12,17,0,1,4,5,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
197,1,2,3.00,1,2,2,12,47,16,49,10,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
198,1,2,3.00,3,0,3,11,61,16,64,16,16,0,2,4,5,1,2,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,,,
199,1,3,3.00,3,1,2,97,71,20,86,12,16,1,0,4,5,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
200,1,2,3.00,0,1,2,18,21,14,51,18,97,2,0,5,3,1,2,4,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
201,1,1,3.00,0,1,1,20,21,14,29,16,97,2,0,5,4,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,,
202,1,2,3.00,0,2,0,99,21,13,51,18,97,3,0,5,4,1,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,,,
203,1,1,3.00,0,1,1,20,21,14,0,14,97,1,0,4,5,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
204,1,2,3.00,0,2,1,13,26,15,22,16,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
205,1,2,3.00,0,2,1,97,48,17,65,18,97,2,0,4,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
206,1,1,3.00,0,1,1,14,22,15,31,12,97,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
207,1,1,2.00,3,1,3,97,74,16,49,98,14,2,0,3,5,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
208,1,1,2.00,0,2,3,18,21,14,21,18,97,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
209,1,1,2.00,2,2,0,16,50,18,43,15,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
210,1,1,2.00,0,0,1,16,26,16,51,14,12,0,2,4,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
211,3,1,2.00,2,8,2,6,40,9,51,6,12,8,0,1,3,4,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
212,1,3,2.00,0,3,1,98,47,16,61,98,97,1,0,4,5,1,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,,,
213,1,3,2.00,1,0,1,6,65,20,51,6,97,0,1,5,4,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
214,1,1,2.00,1,1,0,16,39,18,51,16,97,1,0,5,4,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,,,
215,3,2,2.00,0,1,1,16,37,20,57,12,97,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
216,1,2,2.00,0,2,4,16,29,17,63,12,97,3,0,4,5,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,,
217,1,2,2.00,0,1,2,12,31,18,69,16,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
218,1,1,2.00,0,0,4,20,28,16,23,12,97,0,1,5,4,2,3,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,,,
219,1,1,2.00,0,0,2,19,32,20,75,16,97,0,1,4,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
220,1,2,2.00,1,2,2,97,85,10,51,98,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
221,1,2,2.00,0,0,7,19,33,16,46,17,97,0,1,4,5,1,2,3,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,,,
222,1,1,2.00,0,1,2,6,47,20,63,12,97,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
223,1,2,2.00,0,0,2,9,49,12,33,12,97,0,8,4,5,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
224,1,3,2.00,2,2,1,97,68,12,46,12,97,2,0,2,5,1,3,4,1,2,9,2,2,9,2,1,1,9,9,9,9,9,9,9,9,9,2,,,
225,1,2,2.00,0,2,1,14,22,15,58,16,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
226,1,3,2.00,0,2,2,20,33,19,60,17,97,2,0,9,9,9,9,9,2,2,2,2,2,9,9,9,2,2,2,2,2,2,2,2,2,1,1,,,
227,1,1,2.00,2,2,8,98,72,12,39,98,97,1,0,1,2,3,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
228,1,1,2.00,0,0,3,16,29,18,52,14,97,0,1,5,4,1,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,,,
229,2,1,2.00,0,1,1,97,21,13,23,12,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
230,2,1,2.00,2,0,3,97,26,15,56,15,97,0,2,2,5,1,3,4,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,,,
231,2,1,2.00,2,2,7,98,36,12,46,97,97,2,0,5,4,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
232,2,1,2.00,1,1,2,98,22,12,39,16,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
233,2,1,2.00,5,0,5,6,49,12,36,12,12,0,1,3,4,2,1,5,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,,
234,2,2,2.00,1,1,10,12,35,13,39,10,97,1,0,4,5,1,2,3,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,,,
235,2,1,2.00,4,0,6,8,68,14,47,8,97,0,1,5,4,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
236,1,2,3.00,1,2,2,8,36,18,65,9,16,1,0,5,4,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,,,
237,1,2,3.00,0,1,4,13,28,12,37,97,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
238,1,2,3.00,0,0,3,18,25,17,46,14,97,0,1,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,
239,1,2,3.00,8,1,1,98,51,10,0,98,13,1,0,1,5,4,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,
240,1,2,3.00,2,0,2,17,40,17,64,12,97,0,1,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
241,1,2,3.00,0,1,1,18,26,16,46,14,97,2,0,2,5,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
242,2,2,3.00,0,0,4,98,24,12,31,98,97,0,1,5,3,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
243,1,1,3.00,0,1,1,98,20,12,33,12,97,1,0,4,5,1,2,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,,,
244,1,2,3.00,0,1,13,97,23,5,28,0,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
245,1,2,3.00,0,0,5,16,23,13,28,97,97,0,1,4,5,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
246,1,3,3.00,4,3,11,6,36,9,39,6,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
247,2,3,3.00,2,0,9,98,41,10,23,8,13,0,1,1,5,4,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
248,1,3,3.00,4,1,1,97,83,11,46,98,97,1,0,5,3,4,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,,,
249,1,2,3.00,2,2,3,12,70,12,37,12,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
250,1,2,3.00,4,0,2,97,28,11,0,12,11,0,1,1,5,4,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,,,
251,1,2,3.00,0,2,1,16,25,16,48,16,16,2,0,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
252,2,3,3.00,1,1,8,6,43,8,36,5,97,2,0,1,2,5,3,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,,,
253,2,2,3.00,2,0,2,10,39,16,39,14,97,0,1,4,5,1,2,3,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,,,
254,1,1,3.00,0,0,6,12,27,12,35,12,97,0,1,2,5,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
255,3,9,3.00,3,2,7,8,29,11,29,8,10,1,0,3,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
256,3,2,3.00,2,0,7,12,40,17,51,98,15,0,1,3,5,1,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
257,1,2,3.00,2,2,3,98,27,9,36,10,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
258,1,2,3.00,3,0,4,12,40,16,32,12,16,0,1,4,5,1,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,,,
259,1,1,3.00,0,1,1,16,21,13,23,13,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
260,1,2,3.00,2,0,1,99,32,14,45,97,12,0,1,4,5,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
261,1,2,3.00,0,2,3,7,53,16,65,12,16,1,0,3,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
262,1,1,3.00,1,1,2,12,39,13,51,12,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
263,1,2,3.00,1,1,1,16,30,16,51,16,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
264,1,2,3.00,3,0,1,14,47,14,42,12,13,0,1,4,5,1,2,3,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
265,1,1,3.00,2,1,2,10,32,19,67,12,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
266,3,1,3.00,4,0,8,6,48,19,51,2,12,0,1,1,5,4,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
267,2,2,3.00,2,0,14,11,46,9,31,6,97,0,1,2,3,4,5,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,,,
268,1,2,1.00,3,2,0,97,49,14,59,13,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
269,2,3,1.00,3,0,10,12,73,12,51,9,97,0,1,1,4,5,3,2,2,2,1,2,2,8,2,2,2,2,2,2,2,2,2,8,8,8,2,,,
270,2,1,1.00,0,0,2,12,24,12,46,12,97,0,1,1,5,4,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,,
271,1,2,1.00,0,1,5,6,84,8,48,97,97,1,0,4,5,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
272,2,2,1.00,0,2,10,8,25,12,39,12,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
273,1,2,1.00,4,0,4,3,27,11,51,10,10,0,1,3,5,1,2,4,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,,,,
274,1,1,1.00,0,0,8,12,40,10,51,98,10,0,2,3,5,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,
275,1,2,1.00,2,2,7,97,27,12,30,12,12,2,0,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
276,1,3,1.00,3,2,2,14,43,14,54,12,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
277,1,1,1.00,3,0,6,8,65,16,62,8,15,0,1,2,5,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
278,1,2,1.00,3,2,2,12,35,15,51,12,12,1,0,3,5,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,,,
279,1,2,1.00,0,0,1,98,25,16,49,98,97,0,1,5,4,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
280,1,2,1.00,3,2,4,12,58,11,28,12,11,1,0,4,5,3,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
281,1,2,1.00,5,2,3,11,55,12,39,10,97,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
282,1,1,1.00,0,0,12,0,53,9,32,0,97,0,1,1,5,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
283,1,1,1.00,4,1,4,98,70,12,31,12,13,1,0,1,5,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
284,1,2,1.00,0,1,4,16,35,16,73,13,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
285,1,3,1.00,4,3,3,12,47,12,44,12,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
286,1,3,1.00,7,0,10,98,61,15,66,8,97,0,2,4,5,1,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,
287,1,1,1.00,2,1,1,16,35,17,73,12,20,1,0,5,4,1,2,3,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
288,1,1,1.00,0,2,2,12,34,16,32,12,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
289,1,2,1.00,3,0,2,8,70,12,47,8,13,0,2,2,5,1,3,4,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,
290,1,2,1.00,2,2,5,98,67,12,59,98,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
291,1,1,1.00,2,0,1,12,35,17,47,8,17,0,2,5,4,1,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,
292,1,2,1.00,4,2,6,12,43,12,36,12,15,1,0,4,5,1,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,,,
293,1,1,1.00,3,1,2,12,73,14,50,10,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
294,1,2,1.00,2,0,3,12,35,15,51,12,14,0,1,3,5,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
295,1,3,1.00,1,3,3,98,89,10,36,8,97,9,0,4,5,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
296,1,1,1.00,3,1,9,12,39,13,42,12,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
297,1,2,1.00,0,0,1,97,33,14,69,12,12,0,2,3,5,1,4,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,,,
298,1,2,1.00,2,2,6,6,48,12,50,98,13,1,0,5,4,3,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,,,
299,2,2,1.00,3,0,2,12,31,12,22,12,97,0,1,4,5,1,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,
300,2,2,1.00,5,2,4,8,67,11,30,8,97,1,0,1,2,3,4,5,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,,,
301,2,2,1.00,1,2,6,9,30,12,35,9,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
302,2,3,1.00,4,1,5,97,30,12,30,8,97,2,0,5,4,3,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,,,
303,2,2,1.00,1,2,11,98,71,8,23,98,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
304,1,2,1.00,0,1,0,98,29,16,61,98,97,1,0,9,9,9,9,9,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,,,
305,1,2,1.00,0,1,2,12,26,13,46,12,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
306,1,1,1.00,0,0,1,14,23,16,51,14,97,0,1,2,5,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
307,1,2,1.00,0,2,1,12,21,14,32,18,97,1,0,4,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
308,1,2,1.00,3,3,10,8,87,8,38,8,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
309,1,2,1.00,2,0,3,12,30,14,50,10,14,0,1,4,5,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
310,1,2,1.00,4,1,7,5,83,8,28,7,10,2,0,4,5,2,3,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
311,1,2,1.00,4,2,11,0,80,8,31,0,97,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
312,1,2,1.00,3,0,11,97,89,10,29,98,97,0,2,4,5,3,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
313,1,2,1.00,3,0,3,9,53,12,36,12,97,0,1,4,5,1,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,
314,1,2,1.00,3,1,2,10,62,12,46,10,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
315,1,1,1.00,4,1,3,97,59,15,66,12,20,1,0,4,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
316,1,2,1.00,3,2,2,13,35,16,66,12,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
317,1,1,1.00,2,0,1,20,36,19,46,14,18,0,1,3,5,4,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,
318,2,2,1.00,1,2,1,97,42,14,31,6,14,1,0,3,5,1,2,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
319,1,2,1.00,0,1,1,12,34,17,71,12,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
320,1,2,1.00,1,0,4,7,33,12,30,8,15,0,1,1,5,2,3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
321,1,3,1.00,1,2,2,8,42,12,44,9,16,2,0,5,4,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
322,1,2,1.00,2,0,4,8,74,14,47,8,97,0,1,3,5,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
323,1,2,1.00,1,0,3,7,37,12,59,12,16,0,1,3,5,1,2,4,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,,,
324,1,1,1.00,3,2,6,98,50,17,66,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
325,1,2,1.00,5,0,6,8,52,12,32,12,12,0,1,1,5,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
326,1,2,1.00,1,2,9,0,71,10,36,0,97,1,0,3,5,2,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,
327,1,2,1.00,2,0,3,16,34,14,46,12,16,0,1,1,5,4,2,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,
328,1,9,1.00,2,2,8,12,41,17,61,12,18,1,0,4,5,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
329,1,1,2.00,4,2,9,12,53,12,51,7,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
330,1,1,2.00,0,0,0,11,43,14,28,11,97,0,1,4,5,1,2,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,,,
331,1,2,2.00,1,2,4,9,30,13,51,12,12,1,0,4,3,1,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
332,1,3,2.00,4,0,3,6,57,12,33,10,97,0,1,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
